,Unnamed: 0,Titulo,Marca,Modelo,Precio,Anio,Kilometros,Color,Transmision,Tipo de combustible,Tipo de carroceria,Motor,Puertas,Img,Modelo_abbr,Category,Kilometraje
6,6,Jeep Willys Cj3,Jeep,WILLYS,32000000,1954,200000,Rojo,Mecánica,Gasolina,Camioneta,1400,2,https://http2.mlstatic.com/D_NQ_NP_996223-MCO44964201679_022021-O.jpg,WILLYS,NA,ALTO
8,8,Volkswagen Escarabajo 1.2 M/t A.a,Volkswagen,ESCARABAJO,10900000,1955,185000,Amarillo,Mecánica,Gasolina,Hatchback,1200,2,https://http2.mlstatic.com/D_NQ_NP_842783-MCO47233190576_082021-O.jpg,ESCARABAJO,NA,ALTO
20,20,Volkswagen Escarabajo,Volkswagen,ESCARABAJO,10300000,1961,23000,Azul,Mecánica,Gasolina,Sedan,1300,4,https://http2.mlstatic.com/D_NQ_NP_825444-MCO45882782916_052021-O.jpg,ESCARABAJO,NA,BAJO
26,26,Jeep Willys,Jeep,WILLYS,70000000,1963,2,Rojo,Mecánica,Gasolina,Camioneta,2300,3,https://http2.mlstatic.com/D_NQ_NP_732054-MCO44691995099_012021-O.jpg,WILLYS,NA,BAJO
28,28,Mercedes Benz 250 S 2.5 Mecanico Sedan,Mercedes-Benz,250,30000000,1966,41374,Verde,Mecánica,Gasolina,Sedan,2500,4,https://http2.mlstatic.com/D_NQ_NP_702049-MCO47061227745_082021-O.jpg,250,NA,BAJO
40,40,Volkswagen Escarabajo,Volkswagen,ESCARABAJO,22000000,1968,2000,Azul,Mecánica,Gasolina,Sedan,1600,2,https://http2.mlstatic.com/D_NQ_NP_880964-MCO47326515279_092021-O.jpg,ESCARABAJO,NA,BAJO
41,41,Toyota Fj40,Toyota,LAND CRUISER,63000000,1968,350000,Blanco,Mecánica,Gasolina,Camioneta,2000,3,https://http2.mlstatic.com/D_NQ_NP_764950-MCO47092644566_082021-O.jpg,LAND CRUISER,SUV,ALTO
46,46,Land Rover 1970,Land Rover,1970,35000000,1996,123456,Negro,Mecánica,Diesel,Hatchback,2226,2,https://http2.mlstatic.com/D_NQ_NP_646874-MCO47354151682_092021-O.jpg,1970,NA,ALTO
48,48,Toyota Land Cruiser 4.2 Fj40,Toyota,LAND CRUISER,20000000,1971,500,No Disponible,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_858688-MCO47253607243_082021-O.jpg,LAND CRUISER,SUV,BAJO
49,49,Toyota Land Cruiser 4.2 Fj40,Toyota,LAND CRUISER,65000000,1971,100000,Rojo,Mecánica,Diesel,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_632886-MCO47443845606_092021-O.jpg,LAND CRUISER,SUV,ALTO
52,52,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,35900000,1972,200000,No Disponible,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_790932-MCO47330182346_092021-O.jpg,LAND CRUISER,SUV,ALTO
53,53,Nissan Patrol 4.0 Lg60,Nissan,PATROL,21900000,1972,198000,Amarillo,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_843298-MCO46185859183_052021-O.jpg,PATROL,NA,ALTO
55,55,Nissan Patrol 4.0 Lg60,Nissan,PATROL,43000000,1973,864479,Gris,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_968220-MCO47095723804_082021-O.jpg,PATROL,NA,ALTO
56,56,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,48900000,1973,1000,Azul,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_984912-MCO47295843124_082021-O.jpg,LAND CRUISER,SUV,BAJO
59,59,Nissan Patrol 4.0 Lg60,Nissan,PATROL,18000000,1973,59757,No Disponible,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_948372-MCO45705594779_042021-O.jpg,PATROL,NA,MEDIO
60,60,Nissan Patrol 4.0 Lg60,Nissan,PATROL,26000000,1973,150000,Dorado,Mecánica,Gasolina,Camioneta,4000,3,https://http2.mlstatic.com/D_NQ_NP_616973-MCO47396698639_092021-O.jpg,PATROL,NA,ALTO
61,61,Nissan Patrol 4.0 Lg60,Nissan,PATROL,19500000,1974,250000,Beige,Mecánica,Gasolina y Gas,Camioneta,4000,3,https://http2.mlstatic.com/D_NQ_NP_883027-MCO46530197295_062021-O.jpg,PATROL,NA,ALTO
64,64,Nissan Patrol 4.0 Lg60,Nissan,PATROL,18000000,1974,68000,No Disponible,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_873434-MCO47015528864_082021-O.jpg,PATROL,NA,MEDIO
65,65,Renault R12 1.3 Tl,Renault,R12,4000000,1974,105384,No Disponible,Mecánica,Gasolina,Sedan,1300,4,https://http2.mlstatic.com/D_NQ_NP_840692-MCO47520663404_092021-O.jpg,R12,NA,ALTO
66,66,Volkswagen Escarabajo 1.6 Escarabajo,Volkswagen,ESCARABAJO,30000000,1974,100,Rojo,Mecánica,Gasolina,Hatchback,1600,5,https://http2.mlstatic.com/D_NQ_NP_847045-MCO46970847355_082021-O.jpg,ESCARABAJO,NA,BAJO
67,67,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,24000000,1974,100000,No Disponible,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_890740-MCO47188992809_082021-O.jpg,LAND CRUISER,SUV,ALTO
68,68,Volkswagen Escarabajo 1.6 Escarabajo,Volkswagen,ESCARABAJO,13500000,1974,55000,Amarillo,Mecánica,Gasolina,Hatchback,1600,5,https://http2.mlstatic.com/D_NQ_NP_986475-MCO46482194488_062021-O.jpg,ESCARABAJO,NA,MEDIO
69,69,Toyota Land Cruiser  Oreja De Perro Estacas 1974,Toyota,LAND CRUISER,43000000,1974,14925,Verde,Mecánica,Gasolina y Gas,Camioneta,4000,2,https://http2.mlstatic.com/D_NQ_NP_694308-MCO46125894919_052021-O.jpg,LAND CRUISER,SUV,BAJO
71,71,Dodge Dart V8,Dodge,DART,38000000,1975,100000,Cafe,Automática,Gasolina,Sedan,5200,4,https://http2.mlstatic.com/D_NQ_NP_823865-MCO43594816416_092020-O.jpg,DART,Sedan,ALTO
72,72,Nissan Patrol 4.0 Lg60,Nissan,PATROL,25000000,1975,430000,Verde,Mecánica,Gasolina,Camioneta,4000,3,https://http2.mlstatic.com/D_NQ_NP_685387-MCO46981128944_082021-O.jpg,PATROL,NA,ALTO
73,73,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,25000000,1975,1,Verde,Mecánica,Gasolina,Camioneta,4200,3,https://http2.mlstatic.com/D_NQ_NP_715493-MCO47498473572_092021-O.jpg,LAND CRUISER,SUV,BAJO
74,74,Nissan Patrol 4.0 Lg60,Nissan,PATROL,26000000,1976,300000,No Disponible,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_841288-MCO46469898233_062021-O.jpg,PATROL,NA,ALTO
75,75,Toyota Land Cruiser 4.2 Fj40,Toyota,LAND CRUISER,65000000,1976,1,Gris,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_943125-MCO47231574128_082021-O.jpg,LAND CRUISER,SUV,BAJO
76,76,Dodge Dart 3.7 Sd,Dodge,DART,10000000,1976,200000,No Disponible,Mecánica,Gasolina,Sedan,3700,4,https://http2.mlstatic.com/D_NQ_NP_729152-MCO46642428611_072021-O.jpg,DART,Sedan,ALTO
77,77,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,33500000,1977,247000,Rojo,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_755476-MCO47252396711_082021-O.jpg,LAND CRUISER,SUV,ALTO
79,79,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,35000000,1977,143000,Cafe,Mecánica,Gasolina,Camioneta,4200,3,https://http2.mlstatic.com/D_NQ_NP_995161-MCO47061298653_082021-O.jpg,LAND CRUISER,SUV,ALTO
80,80,Renault R4 1.0 Plus 25,Renault,R4,24900000,1977,78900,Azul,Mecánica,Gasolina,Hatchback,1000,5,https://http2.mlstatic.com/D_NQ_NP_821114-MCO46914838908_072021-O.jpg,R4,NA,MEDIO
81,81,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,60000000,1977,600000,Blanco,Mecánica,Gasolina,Camioneta,4200,3,https://http2.mlstatic.com/D_NQ_NP_878037-MCO47548904568_092021-O.jpg,LAND CRUISER,SUV,ALTO
82,82,Nissan Patrol 4.0 Lg60,Nissan,PATROL,21500000,1977,50000,No Disponible,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_824017-MCO47083153991_082021-O.jpg,PATROL,NA,MEDIO
83,83,Nissan Patrol 4.0 Lg60,Nissan,PATROL,78800000,1977,53000,Naranja,Mecánica,Gasolina,Camioneta,4000,5,https://http2.mlstatic.com/D_NQ_NP_610552-MCO47177726415_082021-O.jpg,PATROL,NA,MEDIO
86,86,Renault R12 Sedan,Renault,R 12,9000000,1978,28000,Blanco,Mecánica,Gasolina,Sedan,1300,4,https://http2.mlstatic.com/D_NQ_NP_693579-MLA46512474341_062021-O.jpg,R 12,NA,BAJO
88,88,Mercedes-Benz 250 2.5 W123,Mercedes-Benz,250,28000000,1978,192701,Blanco,Mecánica,Gasolina,Sedan,2500,4,https://http2.mlstatic.com/D_NQ_NP_883413-MCO47501889629_092021-O.jpg,250,NA,ALTO
89,89,Toyota Land Cruiser 4.2 Fj43,Toyota,LAND CRUISER,28000000,1978,100000,Azul,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/D_NQ_NP_868418-MCO47160993611_082021-O.jpg,LAND CRUISER,SUV,ALTO
90,90,Dodge,Dodge,DART,10200000,1978,28700,Blanco,Automática,Gasolina y Gas,Sedan,2300,5,https://http2.mlstatic.com/D_NQ_NP_916226-MCO46822069103_072021-O.jpg,DART,Sedan,BAJO
91,91,Toyota Land Cruiser 4.2 Fj40,Toyota,LAND CRUISER,67000000,1978,67000,No Disponible,Mecánica,Gasolina,Camioneta,4200,5,https://http2.mlstatic.com/resources/frontend/statics/img-not-available/1.0.0/V.jpg,LAND CRUISER,SUV,MEDIO
92,92,BMW Serie 5 2.0 520 E12,BMW,SERIE 5,10000000,1978,306000,No Disponible,Mecánica,Gasolina,Sedan,2000,4,https://http2.mlstatic.com/D_NQ_NP_711482-MCO47250936144_082021-O.jpg,SERIE 5,NA,ALTO
93,93,Nissan Patrol 4.0 Lg60,Nissan,PATROL,18500000,1978,542871,Rojo,Mecánica,Gasolina,Camioneta,4000,3,https://http2.mlstatic.com/D_NQ_NP_664339-MCO45858021183_052021-O.jpg,PATROL,NA,ALTO
