,Titulo,Marca,Modelo,Precio,Anio,Kilometros,Color,Transmision,Tipo de combustible,Tipo de carroceria,Motor,Puertas,Img
0,Ford F100,Ford,F-100,26000000,1952,125000,Gris,Mecánica,Gasolina,Pick-Up,1500,2,https://http2.mlstatic.com/D_NQ_NP_814571-MCO46955097776_082021-O.jpg
1,Volkswagen Escarabajo 1600,Volkswagen,Escarabajo,12800000,1953,100000,Rojo,Mecánica,Gasolina,Coupé,1600,2,https://http2.mlstatic.com/D_NQ_NP_755410-MCO44319403707_122020-O.jpg
2,Volkswagen Escarabajo Mt 1300cc,Volkswagen,Escarabajo,23800000,1953,19500,Habano,Mecánica,Gasolina,Coupé,1300,2,https://http2.mlstatic.com/D_NQ_NP_892651-MCO46559130482_062021-O.jpg
3,Jeep Willys Cj3,Jeep,Willys,32000000,1954,200000,Rojo,Mecánica,Gasolina,Camioneta,1400,2,https://http2.mlstatic.com/D_NQ_NP_996223-MCO44964201679_022021-O.jpg
4,Jeep Willys Cj 4 Mt 3.2,Jeep,Willys,30000000,1954,1,Verde,Mecánica,Diesel,Convertible,3200,2,https://http2.mlstatic.com/D_NQ_NP_760924-MCO44905790002_022021-O.jpg
5,Volkswagen Escarabajo 1.2 M/t A.a,Volkswagen,Escarabajo,10900000,1955,185000,Amarillo,Mecánica,Gasolina,Hatchback,1200,2,https://http2.mlstatic.com/D_NQ_NP_842783-MCO47233190576_082021-O.jpg
6,Volkswagen Escarabajo 1600,Volkswagen,Escarabajo,18000000,1955,56000,Rojo,Mecánica,Gasolina,Coupé,1600,3,https://http2.mlstatic.com/D_NQ_NP_724678-MCO47094639938_082021-O.jpg
7,Jeep Willys,Jeep,Willys,45000000,1955,100,Blanco,Mecánica,Gasolina,Convertible,1600,2,https://http2.mlstatic.com/D_NQ_NP_930696-MCO33012829816_112019-O.jpg
8,Volkswagen Escarabajo 1955,Volkswagen,Escarabajo,15000000,1955,530,Azul,Mecánica,Gasolina,Coupé,1300,2,https://http2.mlstatic.com/D_NQ_NP_201825-MLA25489306096_042017-O.jpg
9,Volkswagen Escarabajo 1600 Cc Mt,Volkswagen,Escarabajo,16999000,1960,50000,Rojo,Mecánica,Gasolina,Coupé,1600,2,https://http2.mlstatic.com/D_NQ_NP_895950-MCO47218080549_082021-O.jpg
10,Volkswagen Escarabajo,Volkswagen,Escarabajo,10300000,1961,23000,Azul,Mecánica,Gasolina,Sedán,1300,4,https://http2.mlstatic.com/D_NQ_NP_825444-MCO45882782916_052021-O.jpg
11,Volkswagen Escarabajo 1.3,Volkswagen,Escarabajo,18500000,1961,2500,Verde,Mecánica,Gasolina,Coupé,1300,2,https://http2.mlstatic.com/D_NQ_NP_686842-MCO47514044425_092021-O.jpg
12,Escarabajo,Volkswagen,Escarabajo,17500000,1961,10000,Verde,Mecánica,Gasolina,Coupé,1600,2,https://http2.mlstatic.com/D_NQ_NP_657112-MCO43651512004_102020-O.jpg
13,Jeep Willys,Jeep,Willys,70000000,1963,2,Rojo,Mecánica,Gasolina,Camioneta,2300,3,https://http2.mlstatic.com/D_NQ_NP_732054-MCO44691995099_012021-O.jpg
14,Mercedes Benz 250 S 2.5 Mecanico Sedan,Mercedes-Benz,250,30000000,1966,41374,Verde,Mecánica,Gasolina,Sedán,2500,4,https://http2.mlstatic.com/D_NQ_NP_702049-MCO47061227745_082021-O.jpg
